Road ID,Length,Numberof_Bends,Trafficvolume,AccidentRisk
1,5,3,200,High
2,7,1,150,Low
3,10,5,300,High
4,6,2,100,Low
5,8,4,250,Medium
6,9,3,180,Medium
7,4,2,120,Low
8,11,6,350,High
9,12,7,400,High
10,5,1,160,Low
11,8,3,220,Medium
12,6,4,200,Medium
13,7,2,140,Low
14,9,5,260,Medium
15,10,6,280,High
16,11,3,190,Medium
17,5,2,170,Low
18,8,4,230,Medium
19,12,6,370,High
20,6,1,150,Low
21,9,5,300,High
22,10,4,220,Medium
23,7,3,190,Low
24,8,2,200,Medium
25,11,7,330,High
26,12,4,250,Medium
27,5,2,140,Low
28,9,6,270,Medium
29,10,5,310,High
30,7,3,180,Low
31,8,2,200,Medium
32,11,6,340,High
33,12,5,360,High
34,6,1,160,Low
35,9,4,250,Medium
36,10,3,200,Medium
37,8,4,230,Medium
38,11,7,350,High
39,12,6,380,High
40,7,2,170,Low
41,9,5,290,Medium
42,10,6,310,High
43,6,3,150,Low
44,8,4,220,Medium
45,11,5,320,Medium
46,12,6,340,High
47,7,3,160,Low
48,9,4,270,Medium
49,10,5,310,High
50,6,2,140,Low
